Season,Tier,Average Home Goals,Average Away Goals,Average Total Goals,Difference
1924,2,1.508658009,0.803030303,2.311688312,0.705627706
1925,2,2.123376623,1.095238095,3.218614719,1.028138528
1926,2,2.354978355,1.255411255,3.61038961,1.0995671
1927,2,2.218614719,1.25974026,3.478354978,0.958874459
1928,2,2.194805195,1.216450216,3.411255411,0.978354978
1929,2,2.112554113,1.162337662,3.274891775,0.95021645
1930,2,2.244588745,1.235930736,3.480519481,1.008658009
1931,2,2.093073593,1.298701299,3.391774892,0.794372294
1932,2,2.114718615,1.222943723,3.337662338,0.891774892
1933,2,1.989177489,1.12987013,3.119047619,0.859307359
1934,2,2.103896104,1.147186147,3.251082251,0.956709957
1935,2,2.166666667,1.151515152,3.318181818,1.015151515
1936,2,2.012987013,1.188311688,3.201298701,0.824675325
1937,2,1.880952381,1.032467532,2.913419913,0.848484848
1938,2,1.941558442,1.177489177,3.119047619,0.764069264
1939,2,2.125,1.3125,3.4375,0.8125
1946,2,2.067099567,1.281385281,3.348484848,0.785714286
1947,2,1.62987013,1.069264069,2.699134199,0.560606061
1948,2,1.800865801,1.019480519,2.82034632,0.781385281
1949,2,1.636363636,1.028138528,2.664502165,0.608225108
1950,2,1.937229437,1.242424242,3.17965368,0.694805195
1951,2,2,1.220779221,3.220779221,0.779220779
1952,2,2.019480519,1.303030303,3.322510823,0.716450216
1953,2,2.071428571,1.251082251,3.322510823,0.82034632
1954,2,2.138528139,1.318181818,3.456709957,0.82034632
1955,2,2.181818182,1.341991342,3.523809524,0.83982684
1956,2,2.12987013,1.428571429,3.558441558,0.701298701
1957,2,2.116883117,1.426406926,3.543290043,0.69047619
1958,2,2.188311688,1.283549784,3.471861472,0.904761905
1959,2,2.051948052,1.335497835,3.387445887,0.716450216
1960,2,2.11038961,1.372294372,3.482683983,0.738095238
1961,2,1.939393939,1.248917749,3.188311688,0.69047619
1962,2,2.008658009,1.229437229,3.238095238,0.779220779
1963,2,1.913419913,1.261904762,3.175324675,0.651515152
1964,2,1.95021645,1.231601732,3.181818182,0.718614719
1965,2,1.902597403,1.173160173,3.075757576,0.729437229
1966,2,1.857142857,1.088744589,2.945887446,0.768398268
1967,2,1.703463203,1.116883117,2.82034632,0.586580087
1968,2,1.586580087,0.978354978,2.564935065,0.608225108
1969,2,1.664502165,0.948051948,2.612554113,0.716450216
1970,2,1.508658009,0.961038961,2.46969697,0.547619048
1971,2,1.645021645,0.939393939,2.584415584,0.705627706
1972,2,1.562770563,0.939393939,2.502164502,0.623376623
1973,2,1.439393939,0.954545455,2.393939394,0.484848485
1974,2,1.424242424,0.818181818,2.242424242,0.606060606
1975,2,1.480519481,0.913419913,2.393939394,0.567099567
1976,2,1.69047619,1.101731602,2.792207792,0.588744589
1977,2,1.673160173,1,2.673160173,0.673160173
1978,2,1.569264069,0.971861472,2.541125541,0.597402597
1979,2,1.512987013,1.002164502,2.515151515,0.510822511
1980,2,1.445887446,0.876623377,2.322510823,0.569264069
1981,2,1.536796537,0.997835498,2.534632035,0.538961039
1982,2,1.623376623,1.069264069,2.692640693,0.554112554
1983,2,1.647186147,1.021645022,2.668831169,0.625541126
1984,2,1.588744589,1.127705628,2.716450216,0.461038961
1985,2,1.66017316,1.075757576,2.735930736,0.584415584
1986,2,1.5,0.948051948,2.448051948,0.551948052
1987,2,1.640316206,1.104743083,2.745059289,0.535573123
1988,2,1.601449275,1.052536232,2.653985507,0.548913043
1989,2,1.605072464,1.15942029,2.764492754,0.445652174
1990,2,1.56884058,1.114130435,2.682971014,0.454710145
1991,2,1.492753623,1.076086957,2.56884058,0.416666667
1992,2,1.55615942,1.06884058,2.625,0.487318841
1993,2,1.565217391,1.061594203,2.626811594,0.503623188
1994,2,1.518115942,0.998188406,2.516304348,0.519927536
1995,2,1.456521739,1.110507246,2.567028986,0.346014493
1996,2,1.579710145,1.094202899,2.673913043,0.485507246
1997,2,1.512681159,1.041666667,2.554347826,0.471014493
1998,2,1.532608696,1.10326087,2.635869565,0.429347826
1999,2,1.487318841,1.032608696,2.519927536,0.454710145
2000,2,1.414855072,1.072463768,2.487318841,0.342391304
2001,2,1.55615942,1.134057971,2.690217391,0.422101449
2002,2,1.530797101,1.208333333,2.739130435,0.322463768
2003,2,1.47826087,1.121376812,2.599637681,0.356884058
2004,2,1.380434783,1.050724638,2.43115942,0.329710145
2005,2,1.380434783,1.048913043,2.429347826,0.331521739
2006,2,1.498188406,1.108695652,2.606884058,0.389492754
2007,2,1.43115942,1.094202899,2.525362319,0.336956522
2008,2,1.389492754,1.05615942,2.445652174,0.333333333
2009,2,1.503623188,1.077898551,2.581521739,0.425724638
2010,2,1.532608696,1.202898551,2.735507246,0.329710145
2011,2,1.40942029,1.161231884,2.570652174,0.248188406
2012,2,1.507246377,1.199275362,2.706521739,0.307971014
2013,2,1.436594203,1.161231884,2.597826087,0.275362319
1920,3,1.627705628,0.824675325,2.452380952,0.803030303
1921,3,1.819477435,0.874109264,2.693586698,0.945368171
1922,3,1.718527316,0.846793349,2.565320665,0.871733967
1923,3,1.729437229,0.788961039,2.518398268,0.94047619
1924,3,1.798701299,0.841991342,2.640692641,0.956709957
1925,3,2.256493506,1.188311688,3.444805195,1.068181818
1926,3,2.30952381,1.244588745,3.554112554,1.064935065
1927,3,2.341991342,1.29004329,3.632034632,1.051948052
1928,3,2.313852814,1.268398268,3.582251082,1.045454545
1929,3,2.33008658,1.255411255,3.585497835,1.074675325
1930,3,2.401515152,1.25974026,3.661255411,1.141774892
1931,3,2.375838926,1.258389262,3.634228188,1.117449664
1932,3,2.385281385,1.213203463,3.598484848,1.172077922
1933,3,2.321428571,1.278138528,3.5995671,1.043290043
1934,3,2.226190476,1.158008658,3.384199134,1.068181818
1935,3,2.17965368,1.0995671,3.279220779,1.08008658
