,Team,Opponent,Year,Goals,OppGoals,Rating,OppRating,Rd,OppRd,HF,HomeAway,RatingDif,EffRd,RatingDifRat,EffHf
1758,West Bromwich Albion,Tottenham Hotspur,2011,1,3,1731.558999081304,1886.576057407059,55.60211172261502,54.49175490370245,55.7248813933309,1,-155.017058325755,77.85207884507223,-1.9911742965045698,55.7248813933309
1759,Tottenham Hotspur,West Bromwich Albion,2011,3,1,1886.576057407059,1731.558999081304,54.49175490370245,55.60211172261502,55.7248813933309,-1,155.017058325755,77.85207884507223,1.9911742965045698,-55.7248813933309
1760,Norwich City,Queens Park Rangers,2011,2,1,1673.701883562177,1689.5144980321913,53.0231100658219,52.84861876301774,55.7248813933309,1,-15.812614470014296,74.86271906771123,-0.2112214820264841,55.7248813933309
1761,Queens Park Rangers,Norwich City,2011,1,2,1689.5144980321913,1673.701883562177,52.84861876301774,53.0231100658219,55.7248813933309,-1,15.812614470014296,74.86271906771123,0.2112214820264841,-55.7248813933309
1762,Stoke City,Blackburn Rovers,2011,3,1,1717.0565059623775,1698.720169810667,53.6607439849105,55.01066264732448,55.7248813933309,1,18.33633615171061,76.8482169598739,0.2386045750584543,55.7248813933309
1763,Blackburn Rovers,Stoke City,2011,1,3,1698.720169810667,1717.0565059623775,55.01066264732448,53.6607439849105,55.7248813933309,-1,-18.33633615171061,76.8482169598739,-0.2386045750584543,-55.7248813933309
1764,Chelsea,Wolverhampton Wanderers,2011,3,0,1920.8187750514633,1676.0814335861603,60.03362907018443,54.17954641659583,55.7248813933309,1,244.73734146530296,80.86692691851567,3.026420698685741,55.7248813933309
1765,Wolverhampton Wanderers,Chelsea,2011,0,3,1676.0814335861603,1920.8187750514633,54.17954641659583,60.03362907018443,55.7248813933309,-1,-244.73734146530296,80.86692691851567,-3.026420698685741,-55.7248813933309
1766,Arsenal,Fulham,2011,1,1,1897.9419542680146,1734.1031425804615,55.59356770326274,56.54049153898416,55.7248813933309,1,163.83881168755306,79.29358078335976,2.066230457357976,55.7248813933309
1767,Fulham,Arsenal,2011,1,1,1734.1031425804615,1897.9419542680146,56.54049153898416,55.59356770326274,55.7248813933309,-1,-163.83881168755306,79.29358078335976,-2.066230457357976,-55.7248813933309
1768,Bolton Wanderers,Everton,2011,0,2,1686.0774019195783,1803.7520709801463,54.35093481284831,54.54221287856366,55.7248813933309,1,-117.67466906056802,76.99920194859841,-1.5282582946654815,55.7248813933309
1769,Everton,Bolton Wanderers,2011,2,0,1803.7520709801463,1686.0774019195783,54.54221287856366,54.35093481284831,55.7248813933309,-1,117.67466906056802,76.99920194859841,1.5282582946654815,-55.7248813933309
