Club,Manager,From,To,Tenure (days),Gap (days),Caretaker?,Exclude?,Data concern?,Comments
Leyton O,Geraint Williams,5/2/09,3/4/10,422,18,,,,
Leyton O,Russell Slade,6/4/10,26/09/2014,1634,3,,,,
Leyton O,Kevin Nugent,26/09/2014,26/10/2014,30,0,,,Y,Caretaker?
Leyton O,Mauro Milanese,26/10/2014,8/12/14,43,0,,,,
Leyton O,Fabio Liverani,8/12/14,13/05/2015,156,0,,,,
Leyton O,Ian Hendon,28/05/2015,19/02/2019,1363,15,,,,
Lincoln,Roy Chapman,1/1/65,31/05/1966,515,,,,Y,
Lincoln,Ron Gray,1/8/66,1/7/70,1430,62,,,Y,
Lincoln,Bert Loxley,1/7/70,1/3/71,243,0,,,Y,
Lincoln,David Herd,1/3/71,6/12/72,646,0,,,,
Lincoln,Graham Taylor,6/12/72,20/06/1977,1657,0,,,,
Lincoln,George Kerr,20/06/1977,1/12/77,164,0,,,,
Lincoln,Willie Bell,21/12/1977,23/10/1978,306,20,,,,
Lincoln,Colin Murphy,6/11/78,1/5/85,2368,14,,,,
Lincoln,John Pickering,1/7/85,20/12/1985,172,61,,,,
Lincoln,George Kerr,20/12/1985,7/3/87,442,0,,,,
Lincoln,Peter Daniel,7/3/87,1/5/87,55,0,,,Y,Caretaker?
Lincoln,Colin Murphy,26/05/1987,20/05/1990,1090,25,,,,
Lincoln,Allan Clarke,3/6/90,30/11/1990,180,14,,,,
Lincoln,Steve Thompson,30/11/1990,31/05/1993,913,0,,,,
Lincoln,Keith Alexander,1/8/93,16/05/1994,288,62,,,,
Lincoln,Sam Ellis,1/8/94,4/9/95,399,77,,,,
Lincoln,Steve Wicks,4/9/95,16/10/1995,42,0,,,Y,Caretaker?
Lincoln,John Beck,16/10/1995,6/3/97,507,0,,,,
Lincoln,Shane Westley,7/3/97,11/11/98,614,1,,,,
Lincoln,John Reames,11/11/98,1/6/00,568,0,,,,
Lincoln,Phil Stant,1/6/00,27/02/2001,271,0,,,,
Lincoln,Alan Buckley,28/02/2001,25/04/2002,421,1,,,,
Lincoln,Keith Alexander,5/5/02,24/05/2006,1480,10,,,,
Lincoln,John Schofield,24/05/2006,15/10/2007,509,0,,,,
Lincoln,Grant Brown,15/10/2007,30/10/2007,15,0,Y,Y,,
Lincoln,Peter Jackson,30/10/2007,2/9/09,673,0,,,,
Lincoln,Simon Clark,2/9/09,28/09/2009,26,0,Y,Y,,
Lincoln,Chris Sutton,28/09/2009,29/09/2010,366,0,,,,
Lincoln,Scott Lindsey,30/09/2010,17/10/2010,17,1,Y,Y,,
Lincoln,Steve Tilson,18/10/2010,10/10/11,357,1,,,,
Lincoln,David Holdsworth,24/10/2011,27/02/2013,492,14,,,,
Lincoln,Gary Simpson,27/02/2013,3/11/14,614,0,,,,
Lincoln,Chris Moyses,3/11/14,19/02/2019,1569,0,,,,Not in top 4 divisions - no need to be current
Liverpool,Bill Shankly,1/12/59,12/7/74,5337,,,,,
Liverpool,Bob Paisley,26/08/1974,1/7/83,3231,45,,,,
Liverpool,Joe Fagan,1/7/83,28/05/1985,697,0,,,,
Liverpool,Kenny Dalglish,30/05/1985,21/02/1991,2093,2,,,,
Liverpool,Ronnie Moran,22/02/1991,15/04/1991,52,1,Y,Y,,
Liverpool,Graeme Souness,16/04/1991,28/01/1994,1018,1,,,,
Liverpool,Roy Evans,31/01/1994,12/11/98,1746,3,,,,
Liverpool,Gerard Houllier,12/11/98,24/05/2004,2020,0,,,,
Liverpool,Rafael Benitez,16/06/2004,3/6/10,2178,23,,,,
Liverpool,Roy Hodgson,1/7/10,8/1/11,191,28,,,,
Liverpool,Kenny Dalglish,8/1/11,16/05/2012,494,0,,,,
Liverpool,Brendan Rodgers,1/6/12,4/10/15,1220,16,,,,
Liverpool,Jurgen Klopp,8/10/15,19/02/2019,1230,4,,,,
Luton,George Martin,1/2/65,1/11/66,638,,,,Y,
Luton,Allan Brown,1/11/66,1/12/68,761,0,,,Y,
Luton,Alec Stock,1/12/68,28/04/1972,1244,0,,,,
Luton,Harry Haslam,5/5/72,23/01/1978,2089,7,,,,
Luton,David Pleat,25/01/1978,16/05/1986,3033,2,,,,
Luton,John Moore,3/6/86,15/06/1987,377,18,,,,
Luton,Ray Harford,15/06/1987,3/1/90,933,0,,,,
Luton,Terry Mancini,3/1/90,11/1/90,8,0,Y,Y,,
Luton,Jim Ryan,11/1/90,13/05/1991,487,0,,,,
Luton,David Pleat,6/6/91,14/06/1995,1469,24,,,,
Luton,Terry Westley,3/7/95,18/12/1995,168,19,,,,
Luton,Lennie Lawrence,21/12/1995,4/7/00,1657,3,,,,
Luton,Ricky Hill,10/7/00,15/11/2000,128,6,,,,
Luton,Lil Fuccillo,16/11/2000,8/2/01,84,1,,,,
Luton,Joe Kinnear,8/2/01,23/05/2003,834,0,,,,
Luton,Mike Newell,23/06/2003,15/03/2007,1361,31,,,,
Luton,Kevin Blackwell,27/03/2007,16/01/2008,295,12,,,,
Luton,Mick Harford,16/01/2008,30/10/2009,653,0,,,,
Luton,Richard Money,30/10/2009,28/03/2011,514,0,,,,
Luton,Gary Brabin,28/03/2011,1/4/12,370,0,,,,
Luton,Paul Buckle,6/4/12,25/02/2013,325,5,,,,
Luton,John Still,26/02/2013,19/02/2019,2184,1,,,,
Macclesfield,Sammy McIlroy,1/8/97,4/1/00,886,,,,,
Macclesfield,Peter Davenport,6/1/00,27/12/2000,356,2,,,,
Macclesfield,Gil Prescott,27/12/2000,8/10/01,285,0,,,,
Macclesfield,Kevin Keen,11/10/01,12/11/01,32,3,Y,Y,,
Macclesfield,David Moss,12/11/01,26/10/2003,713,0,,,,
Macclesfield,John Askey,27/10/2003,1/4/04,157,1,,,,
Macclesfield,Brian Horton,1/4/04,1/10/06,913,0,,,,
Macclesfield,Ian Brightwell,2/10/06,23/10/2006,21,1,Y,Y,,
Macclesfield,Paul Ince,23/10/2006,25/06/2007,245,0,,,,
Macclesfield,Ian Brightwell,25/06/2007,27/02/2008,247,0,,,,
Macclesfield,Keith Alexander,27/02/2008,3/3/10,735,0,,,,
Macclesfield,Gary Simpson,5/3/10,18/03/2012,744,2,,,,
Macclesfield,Brian Horton,19/03/2012,30/04/2012,42,1,,,,
Macclesfield,Steve King,1/5/12,4/4/13,338,1,,,,
Macclesfield,John Askey,4/4/13,30/06/2015,817,0,,,,Not in top 4 divisions - no need to be current
Maidstone,Keith Peacock,1/7/89,1/2/91,580,,,,Y,
Maidstone,Graham Carr,1/2/91,1/10/91,242,0,,,Y,
Maidstone,Clive Walker,1/10/91,1/7/92,274,0,,,Y,Not in top 4 divisions - no need to be current
Man City,Joe Mercer,13/07/1965,7/10/71,2277,,,,,
Man City,Malcolm Allison,7/10/71,30/03/1973,540,0,,,,
Man City,Johnny Hart,30/03/1973,22/10/1973,206,0,,,,
Man City,Tony Book,23/10/1973,22/11/1973,30,1,Y,Y,,
Man City,Ron Saunders,22/11/1973,12/4/74,141,0,,,,
Man City,Tony Book,12/4/74,16/07/1979,1921,0,,,,
Man City,Malcolm Allison,16/07/1979,8/10/80,450,0,,,,
Man City,Tony Book,9/10/80,16/10/1980,7,1,Y,Y,,
Man City,John Bond,17/10/1980,3/2/83,839,1,,,,
Man City,John Benson,3/2/83,7/6/83,124,0,,,,
Man City,Billy McNeill,30/06/1983,20/09/1986,1178,23,,,,
Man City,Jimmy Frizzell,21/09/1986,1/5/87,222,1,,,,
Man City,Mel Machin,1/5/87,29/11/1989,943,0,,,,
Man City,Tony Book,29/11/1989,5/12/89,6,0,Y,Y,,
Man City,Howard Kendall,6/12/89,5/11/90,334,1,,,,
Man City,Peter Reid,11/11/90,26/08/1993,1019,6,,,,
Man City,Tony Book,26/08/1993,28/08/1993,2,0,Y,Y,,
Man City,Brian Horton,28/08/1993,16/05/1995,626,0,,,,
Man City,Alan Ball,30/06/1995,26/08/1996,423,45,,,,
Man City,Asa Hartford,26/08/1996,7/10/96,42,0,Y,Y,,
Man City,Steve Coppell,7/10/96,8/11/96,32,0,,,,
Man City,Phil Neal,9/11/96,28/12/1996,49,1,Y,Y,,
Man City,Frank Clark,29/12/1996,17/02/1998,415,1,,,,
Man City,Joe Royle,18/02/1998,21/05/2001,1188,1,,,,
Man City,Kevin Keegan,24/05/2001,11/3/05,1387,3,,,,
Man City,Stuart Pearce,21/03/2005,14/05/2007,784,10,,,,
Man City,Sven-Goran Eriksson,6/7/07,2/6/08,332,53,,,,
Man City,Mark Hughes,4/6/08,19/12/2009,563,2,,,,
Man City,Roberto Mancini,19/12/2009,13/05/2013,1241,0,,,,
Man City,Brian Kidd,13/05/2013,14/06/2013,32,0,Y,Y,,
Man City,Manuel Pellegrini,14/06/2013,19/02/2019,2076,0,,,,
Man Utd,Matt Busby,1/10/45,4/6/69,8647,,,,,
Man Utd,Wilf McGuinness,4/6/69,29/12/1970,573,0,,,,
Man Utd,Matt Busby,29/12/1970,8/6/71,161,0,,,,
Man Utd,Frank O'Farrell,8/6/71,19/12/1972,560,0,,,,
Man Utd,Tommy Docherty,22/12/1972,4/7/77,1655,3,,,,
Man Utd,Dave Sexton,14/07/1977,30/04/1981,1386,10,,,,
Man Utd,Ron Atkinson,9/6/81,6/11/86,1976,40,,,,
Man Utd,Alex Ferguson,6/11/86,19/05/2013,9691,0,,,,
Man Utd,David Moyes,1/7/13,22/04/2014,295,43,,,,
Man Utd,Ryan Giggs,22/04/2014,11/5/14,19,0,Y,Y,,
Man Utd,Louis Van Gaal,19/05/2014,19/02/2019,1737,8,,,,
Mansfield,Tommy Cummings,1/7/63,1/7/67,1461,,,,Y,
Mansfield,Tom Eggleston,1/7/67,16/07/1970,1111,0,,,,
Mansfield,Jock Basford,16/07/1970,1/11/71,473,0,,,,
Mansfield,Danny Williams,1/11/71,6/3/74,856,0,,,,
Mansfield,Dave Smith,1/4/74,14/04/1976,744,26,,,,
Mansfield,Peter Morris,26/06/1976,22/02/1978,606,73,,,,
Mansfield,Billy Bingham,23/02/1978,9/7/79,501,1,,,,
Mansfield,Mick Jones,1/8/79,1/5/81,639,23,,,,
Mansfield,Stuart Boam,1/7/81,26/01/1983,574,61,,,,
Mansfield,Ian Greaves,30/01/1983,6/2/89,2199,4,,,,
Mansfield,George Foster,6/2/89,31/07/1993,1636,0,,,,
Mansfield,Andy King,1/8/93,31/07/1996,1095,1,,,,
Mansfield,Steve Parkin,1/10/96,2/6/99,974,62,,,,
Mansfield,Bill Dearden,18/06/1999,6/1/02,933,16,,,,
Mansfield,Stuart Watkiss,9/1/02,2/12/02,327,3,,,,
Mansfield,Keith Curle,3/12/02,11/11/04,709,1,,,,
Mansfield,Carlton Palmer,11/11/04,18/09/2005,311,0,,,,
Mansfield,Peter Shirtliff,18/09/2005,19/12/2006,457,0,,,,
Mansfield,Paul Holland,19/12/2006,28/12/2006,9,0,Y,Y,,
Mansfield,Bill Dearden,28/12/2006,8/3/08,436,0,,,,
Mansfield,Paul Holland,8/3/08,29/12/2008,296,0,,,,
Mansfield,David Holdsworth,29/12/2008,18/11/2010,689,0,,,,
Mansfield,Duncan Russell,19/11/2010,31/05/2011,193,1,,,,
Mansfield,Paul Cox,31/05/2011,5/12/14,1284,0,,,,
Mansfield,Adam Murray,5/12/14,19/02/2019,1537,0,,,,
Middlesbrough,Raich Carter,1/1/63,1/2/66,1127,,,,Y,
Middlesbrough,Stan Anderson,1/4/66,25/01/1973,2491,59,,,,
Middlesbrough,Harold Shepherdson,25/01/1973,7/5/73,102,0,,,,
Middlesbrough,Jack Charlton,7/5/73,21/04/1977,1445,0,,,,
Middlesbrough,John Neal,1/5/77,31/05/1981,1491,10,,,,
Middlesbrough,Bobby Murdoch,31/05/1981,29/09/1982,486,0,,,,
Middlesbrough,Malcolm Allison,23/10/1982,28/03/1984,522,24,,,,
Middlesbrough,Jack Charlton,28/03/1984,31/05/1984,64,0,Y,Y,,
Middlesbrough,Willie Maddren,3/6/84,2/2/86,609,3,,,,
Middlesbrough,Bruce Rioch,2/2/86,9/3/90,1496,0,,,,
Middlesbrough,Colin Todd,9/3/90,24/06/1991,472,0,,,,
Middlesbrough,Lennie Lawrence,10/7/91,19/05/1994,1044,16,,,,
Middlesbrough,Bryan Robson,31/05/1994,6/12/00,2381,12,,,,
Middlesbrough,Terry Venables,6/12/00,12/6/01,188,0,,,,
Middlesbrough,Steve McClaren,12/6/01,11/5/06,1794,0,,,,
Middlesbrough,Gareth Southgate,7/6/06,20/10/2009,1231,27,,,,
Middlesbrough,Colin Cooper,20/10/2009,26/10/2009,6,0,Y,Y,,
Middlesbrough,Gordon Strachan,26/10/2009,18/10/2010,357,0,,,,
Middlesbrough,Steve Agnew,18/10/2010,26/10/2010,8,0,Y,Y,,
Middlesbrough,Tony Mowbray,26/10/2010,21/10/2013,1091,0,,,,
Middlesbrough,Aitor Karanka,13/11/2013,19/02/2019,1924,23,,,,
Millwall,Billy Gray,1/11/63,1/5/66,912,,,,Y,
Millwall,Benny Fenton,1/5/66,3/10/74,3077,0,,,,
Millwall,Gordon Jago,16/10/1974,5/12/77,1146,13,,,,
Millwall,Theo Foley,5/12/77,29/12/1977,24,0,Y,Y,,
Millwall,George Petchey,5/1/78,30/11/1980,1060,7,,,,
Millwall,Peter Anderson,1/12/80,8/11/82,707,1,,,,
Millwall,George Graham,6/12/82,14/05/1986,1255,28,,,,
Millwall,John Docherty,9/7/86,13/02/1990,1315,56,,,,
Millwall,Bob Pearson,14/02/1990,31/03/1990,45,1,Y,Y,,
Millwall,Bruce Rioch,1/4/90,17/03/1992,716,1,,,,
Millwall,Mick McCarthy,18/03/1992,4/2/96,1418,1,,,,
Millwall,Jimmy Nicholl,28/02/1996,10/2/97,348,24,,,,
Millwall,John Docherty,10/2/97,8/5/97,87,0,,,,Listed as consecutive spells http://www.leaguemanagers.com/managers/john-docherty/
Millwall,Billy Bonds,8/5/97,7/5/98,364,0,,,,
Millwall,Keith Stevens,12/5/98,17/09/2000,859,5,,,,
Millwall,Steve Gritt & Ray Harford,17/09/2000,25/09/2000,8,0,Y,Y,,
Millwall,Mark McGhee,25/09/2000,15/10/2003,1115,0,,,,
Millwall,Dennis Wise,15/10/2003,9/5/05,572,0,,,,
Millwall,Steve Claridge,25/06/2005,27/07/2005,32,47,,,,
Millwall,Colin Lee,27/07/2005,21/12/2005,147,0,,,,
Millwall,David Tuttle,21/12/2005,20/04/2006,120,0,,,,
Millwall,Tony Burns & Alan McLeary,20/04/2006,23/05/2006,33,0,Y,Y,,
Millwall,Nigel Spackman,23/05/2006,25/09/2006,125,0,,,,
Millwall,Willie Donachie,25/09/2006,9/10/07,379,0,,,,
Millwall,Richard Shaw,9/10/07,6/11/07,28,0,Y,Y,,
Millwall,Kenny Jackett,6/11/07,7/5/13,2009,0,,,,
Millwall,Steve Lomas,6/6/13,26/12/2013,203,30,,,,
Millwall,Ian Holloway,6/1/14,10/3/15,428,11,,,,
Millwall,Neil Harris,29/04/2015,19/02/2019,1392,50,,,,
MK Dons,Stuart Murdoch,25/06/2002,8/11/04,867,,,,,This includes his time as Wimbledon manager before the unspeakable thing happened
MK Dons,Jimmy Gilligan,8/11/04,7/12/04,29,0,Y,Y,,
MK Dons,Danny Wilson,7/12/04,21/06/2006,561,0,,,,
MK Dons,Martin Allen,21/06/2006,25/05/2007,338,0,,,,
MK Dons,Paul Ince,25/06/2007,21/06/2008,362,31,,,,
MK Dons,Roberto Di Matteo,3/7/08,30/06/2009,362,12,,,,
MK Dons,Paul Ince,6/7/09,8/5/10,306,6,,,,
MK Dons,Karl Robinson,10/5/10,19/02/2019,3207,2,,,,
Morecambe,Sammy McIlroy,1/5/06,9/5/11,1834,,,,,Not in the Football League prior to this
Morecambe,Jim Bentley,13/05/2011,19/02/2019,2839,4,,,,
Newcastle,Joe Harvey,1/6/62,1/6/75,4748,,,,Y,
Newcastle,Gordon Lee,12/6/75,30/01/1977,598,11,,,Y,
Newcastle,Richard Dinnis,2/2/77,9/11/77,280,3,,,,
Newcastle,Willie McFaul,9/11/77,18/11/1977,9,0,Y,Y,,
Newcastle,Bill McGarry,18/11/1977,31/08/1980,1017,0,,,,
Newcastle,Joe Harvey,31/08/1980,7/9/80,7,0,Y,Y,,
Newcastle,Arthur Cox,7/9/80,24/05/1984,1355,0,,,,
Newcastle,Jack Charlton,14/08/1984,10/8/85,361,82,,,,Was there a caretaker beforehand?
Newcastle,Willie McFaul,12/8/85,10/10/88,1155,2,,,,
Newcastle,Colin Suggett,10/10/88,14/12/1988,65,0,Y,Y,,
Newcastle,Jim Smith,14/12/1988,21/03/1991,827,0,,,,
Newcastle,Bobby Saxton,21/03/1991,26/03/1991,5,0,Y,Y,,
Newcastle,Ossie Ardiles,26/03/1991,5/2/92,316,0,,,,
Newcastle,Kevin Keegan,5/2/92,8/1/97,1799,0,,,,
Newcastle,Terry McDermott,8/1/97,14/01/1997,6,0,Y,Y,,
Newcastle,Kenny Dalglish,14/01/1997,27/08/1998,590,0,,,,
Newcastle,Ruud Gullit,28/08/1998,28/08/1999,365,1,,,,
Newcastle,Steve Clarke,28/08/1999,2/9/99,5,0,Y,Y,,
Newcastle,Bobby Robson,2/9/99,30/08/2004,1824,0,,,,
Newcastle,John Carver,11/9/04,13/09/2004,2,12,Y,Y,,
Newcastle,Graeme Souness,13/09/2004,2/2/06,507,0,,,,
Newcastle,Glenn Roeder,2/2/06,6/5/07,458,0,,,,
Newcastle,Nigel Pearson,6/5/07,15/05/2007,9,0,Y,Y,,
Newcastle,Sam Allardyce,15/05/2007,9/1/08,239,0,,,,
Newcastle,Nigel Pearson,9/1/08,16/01/2008,7,0,Y,Y,,
Newcastle,Kevin Keegan,16/01/2008,4/9/08,232,0,,,,
Newcastle,Chris Hughton,8/9/08,28/09/2008,20,4,Y,Y,,
Newcastle,Joe Kinnear,29/09/2008,1/4/09,184,1,,,,
Newcastle,Alan Shearer,1/4/09,24/05/2009,53,0,,,,
Newcastle,Chris Hughton,24/05/2009,6/12/10,561,0,,,,
Newcastle,Alan Pardew,9/12/10,2/1/15,1485,3,,,,
Newcastle,John Carver,2/1/15,9/6/15,158,0,,,,
Newcastle,Steve McClaren,10/6/15,19/02/2019,1350,1,,,,
Newport,Billy Lucas,1/7/62,1/7/67,1826,,,,Y,
Newport,Leslie Graham,1/7/67,1/7/69,731,0,,,Y,
Newport,Bobby Ferguson,1/7/69,1/7/70,365,0,,,Y,
Newport,Billy Lucas,1/7/70,1/7/74,1461,0,,,Y,
Newport,Brian Harris,1/7/74,1/7/75,365,0,,,Y,
Newport,Dave Elliott,1/7/75,1/7/76,366,0,,,Y,
Newport,Jimmy Scoular,1/7/76,1/7/77,365,0,,,Y,
Newport,Colin Addison,1/7/77,1/7/78,365,0,,,Y,
Newport,Len Ashurst,1/7/78,1/7/82,1461,0,,,Y,
Newport,Colin Addison,1/7/82,1/7/85,1096,0,,,Y,
Newport,Bobby Smith,1/7/85,1/1/86,184,0,,,Y,
Newport,John Relish,1/1/86,1/7/86,181,0,,,Y,
Newport,Jimmy Mullen,1/7/86,1/7/87,365,0,,,Y,
Newport,John Lewis,1/7/87,1/11/87,123,0,,,Y,
Newport,Brian Eastick,1/11/87,1/7/88,243,0,,,Y,
Newport,Dave Williams,1/7/88,1/10/88,92,0,,,Y,
Newport,Eddie May,1/10/88,1/12/88,61,0,,,Y,
Newport,John Mahoney,1/12/88,1/7/89,212,0,,,Y,
Newport,John Relish,1/7/89,1/7/93,1461,0,,,Y,
Newport,Graham Rogers,1/7/93,1/7/96,1096,0,,,Y,
Newport,Chris Price,1/7/96,1/7/97,365,0,,,Y,
Newport,Tim Harris,1/7/97,1/7/02,1826,0,,,Y,
Newport,Peter Nicholas,1/7/02,1/7/04,731,0,,,Y,
Newport,John Cornforth,1/7/04,1/7/05,365,0,,,Y,
Newport,Glyn Jones,1/7/05,1/11/05,123,0,Y,N,Y,Caretaker but for a prolonged period
Newport,Peter Beadle,1/11/05,15/05/2008,926,0,,,Y,
Newport,Dean Holdsworth,15/05/2008,30/06/2010,776,0,,,,
Newport,Tim Harris,30/06/2010,1/4/11,275,0,,,,
Newport,Anthony Hudson,1/4/11,28/09/2011,180,0,,,,
Newport,Lee Harrison,28/09/2011,4/10/11,6,0,Y,Y,,
Newport,Justin Edinburgh,4/10/11,7/2/15,1222,0,,,,
Newport,Jimmy Dack,24/02/2015,2/5/15,67,17,Y,Y,,
Newport,Terry Butcher,2/5/15,1/10/15,152,0,,,,
Newport,John Sheridan,2/10/15,19/02/2019,1236,1,,,,
Northampton,Dave Bowen,1/7/59,1/9/67,2984,,,,Y,
Northampton,Tony Marchi,1/9/67,1/5/68,243,0,,,Y,
Northampton,Ron Flowers,1/5/68,1/5/69,365,0,,,Y,
Northampton,Dave Bowen,1/5/69,1/5/72,1096,0,,,Y,
Northampton,Billy Baxter,1/5/72,31/05/1973,395,0,,,Y,
Northampton,Bill Dodgin Jr,24/06/1973,30/06/1976,1102,24,,,Y,
Northampton,Pat Crerand,11/8/76,4/1/77,146,42,,,,
Northampton,John Petts,4/1/77,10/1/78,371,0,,,,
Northampton,Dave Bowen,10/1/78,1/2/78,22,0,Y,Y,,
Northampton,Mike Keen,1/2/78,12/3/79,404,0,,,,
Northampton,Clive Walker,20/05/1979,1/10/80,500,69,,,Y,Was there a caretaker beforehand?
Northampton,Bill Dodgin Jr,1/10/80,5/2/82,492,0,,,,
Northampton,Clive Walker,1/5/82,1/5/84,731,85,,,Y,Was there a caretaker beforehand?
Northampton,Tony Barton,13/07/1984,18/04/1985,279,73,,,,
Northampton,Graham Carr,18/04/1985,1/5/90,1839,0,,,,
Northampton,Theo Foley,29/05/1990,3/4/92,675,28,,,,
Northampton,Phil Chard,3/4/92,31/07/1993,484,0,,,,
Northampton,John Barnwell,28/12/1993,31/07/1994,215,150,,,,
Northampton,Ian Atkins,10/1/95,7/10/99,1731,163,,,,
Northampton,Kevan Broadhurst & Kevin Wilson,7/10/99,1/11/99,25,0,Y,Y,Y,This next bit is a mess
Northampton,Kevin Wilson,1/11/99,30/09/2001,699,0,,,Y,
Northampton,Kevan Broadhurst,30/09/2001,14/10/2001,14,0,Y,Y,Y,Caretaker spell before signing permanent deal
Northampton,Kevan Broadhurst,14/10/2001,6/1/03,449,0,,,Y,
Northampton,Terry Fenwick,7/1/03,24/02/2003,48,1,,,,Only lasted 7 matches
Northampton,Martin Wilkinson,24/02/2003,29/09/2003,217,0,,,,
Northampton,Richard Hill,29/09/2003,9/10/03,10,0,Y,Y,,
Northampton,Colin Calderwood,9/10/03,29/05/2006,963,0,,,,
Northampton,John Gorman,5/6/06,20/12/2006,198,7,,,,
Northampton,Ian Sampson & Jim Barron,20/12/2006,2/1/07,13,0,Y,Y,,
Northampton,Stuart Gray,2/1/07,8/9/09,980,0,,,,
Northampton,Ian Sampson,8/9/09,2/3/11,540,0,,,,
Northampton,Malcolm Crosby,2/3/11,4/3/11,2,0,Y,Y,,
Northampton,Gary Johnson,4/3/11,14/11/2011,255,0,,,,
Northampton,David Lee,15/11/2011,22/11/2011,7,1,Y,Y,,
Northampton,Tim Flowers,22/11/2011,28/11/2011,6,0,Y,Y,,
Northampton,Adrian Boothroyd,29/11/2011,21/12/2013,753,1,,,,
Northampton,Andy King,21/12/2013,27/01/2014,37,0,Y,Y,,
Northampton,Chris Wilder,27/01/2014,19/02/2019,1849,0,,,,
Norwich,Ron Ashman,1/12/62,31/05/1966,1277,,,,Y,
Norwich,Lol Morgan,1/6/66,1/5/69,1065,1,,,Y,
Norwich,Ron Saunders,1/7/69,16/11/1973,1599,61,,,Y,
Norwich,John Bond,27/11/1973,31/10/1980,2530,11,,,,
Norwich,Ken Brown,1/11/80,9/11/87,2564,1,,,,
Norwich,Dave Stringer,9/11/87,1/5/92,1635,0,,,,
Norwich,David Williams,1/5/92,1/6/92,31,0,Y,Y,,
Norwich,Mike Walker,1/6/92,6/1/94,584,0,,,,
Norwich,John Deehan,12/1/94,31/07/1995,565,6,,,,
Norwich,Martin O'Neill,13/08/1995,17/12/1995,126,13,,,,
Norwich,Paul Franklin,17/12/1995,21/12/1995,4,0,Y,Y,,
Norwich,Gary Megson,21/12/1995,31/07/1996,223,0,,,,
Norwich,Mike Walker,1/8/96,30/04/1998,637,1,,,,
Norwich,John Faulkner,30/04/1998,1/7/98,62,0,Y,Y,,
Norwich,Bruce Rioch,1/7/98,13/03/2000,621,0,,,,
Norwich,Bryan Hamilton,13/03/2000,4/12/00,266,0,,,,
Norwich,Nigel Worthington,4/12/00,2/10/06,2128,0,,,,
Norwich,Martin Hunter,2/10/06,16/10/2006,14,0,Y,Y,,
Norwich,Peter Grant,16/10/2006,9/10/07,358,0,,,,
Norwich,Jim Duffy,9/10/07,30/10/2007,21,0,Y,Y,,
Norwich,Glenn Roeder,30/10/2007,14/01/2009,442,0,,,,
Norwich,Bryan Gunn,14/01/2009,20/01/2009,6,0,Y,Y,,Caretaker spell before signing permanent deal
Norwich,Bryan Gunn,20/01/2009,14/08/2009,206,0,,,,
Norwich,Ian Butterworth,14/08/2009,18/08/2009,4,0,Y,Y,,
Norwich,Paul Lambert,18/08/2009,2/6/12,1019,0,,,,
Norwich,Chris Hughton,7/6/12,6/4/14,668,5,,,,
Norwich,Neil Adams,6/4/14,22/05/2014,46,0,Y,Y,,Caretaker spell before signing permanent deal
Norwich,Neil Adams,22/05/2014,5/1/15,228,0,,,,
Norwich,Alex Neil,9/1/15,19/02/2019,1502,4,,,,
Nott'm Forest,Johnny Carey,1/7/63,31/12/1968,2010,,,,Y,
Nott'm Forest,Matt Gillies,1/1/69,20/10/1972,1388,1,,,Y,
Nott'm Forest,Dave Mackay,2/11/72,23/10/1973,355,13,,,,
Nott'm Forest,Allan Brown,19/11/1973,3/1/75,410,27,,,,
Nott'm Forest,Brian Clough,6/1/75,8/5/93,6697,3,,,,
Nott'm Forest,Frank Clark,12/5/93,19/12/1996,1317,4,,,,
Nott'm Forest,Stuart Pearce,20/12/1996,8/5/97,139,1,,,,
Nott'm Forest,Dave Bassett,8/5/97,5/1/99,607,0,,,,
Nott'm Forest,Micky Adams,5/1/99,11/1/99,6,0,Y,Y,,
Nott'm Forest,Ron Atkinson,11/1/99,16/05/1999,125,0,,,,
Nott'm Forest,David Platt,1/7/99,12/7/01,742,46,,,,
Nott'm Forest,Paul Hart,12/7/01,7/2/04,940,0,,,,
Nott'm Forest,Joe Kinnear,10/2/04,16/12/2004,310,3,,,,
Nott'm Forest,Mick Harford,16/12/2004,10/1/05,25,0,Y,Y,,
Nott'm Forest,Gary Megson,10/1/05,16/02/2006,402,0,,,,
Nott'm Forest,Ian McParland & Frank Barlow,17/02/2006,30/05/2006,102,1,,,,
Nott'm Forest,Colin Calderwood,30/05/2006,27/12/2008,942,0,,,,
Nott'm Forest,John Pemberton,27/12/2008,4/1/09,8,0,Y,Y,,
Nott'm Forest,Billy Davies,4/1/09,12/6/11,889,0,,,,
Nott'm Forest,Steve McClaren,13/06/2011,2/10/11,111,1,,,,
Nott'm Forest,Steve Cotterill,14/10/2011,12/7/12,272,12,,,,
Nott'm Forest,Sean O'Driscoll,19/07/2012,26/12/2012,160,7,,,,
Nott'm Forest,Alex McLeish,28/12/2012,5/2/13,39,2,,,,
Nott'm Forest,Billy Davies,7/2/13,24/03/2014,410,2,,,,
Nott'm Forest,Gary Brazil,24/03/2014,3/5/14,40,0,Y,Y,,
Nott'm Forest,Stuart Pearce,1/7/14,1/2/15,215,59,,,,
Nott'm Forest,Dougie Freedman,1/2/15,19/02/2019,1479,0,,,,
Notts Co,Eddie Lowe,1/7/63,1/4/65,640,,,,Y,
Notts Co,Tim Coleman,1/4/65,31/03/1966,364,0,,,Y,
Notts Co,Jack Burkitt,1/4/66,1/2/67,306,1,,,Y,
