,Team,ELO,Year
220,Kidderminster Harriers,1000.0,1959
221,Rushden & Diamonds,1000.0,1959
222,Boston United,1000.0,1959
223,Yeovil,1000.0,1959
224,Accrington,1000.0,1959
225,Morecambe,1000.0,1959
226,Dagenham and Redbridge,1000.0,1959
227,Burton Albion,1000.0,1959
228,Stevenage Borough,1000.0,1959
229,AFC Wimbledon,1000.0,1959
230,Crawley Town,1000.0,1959
231,Fleetwood Town,1000.0,1959
232,Swindon Town,1200.7833980817306,1960
233,Notts County,1241.8770353881393,1960
234,Carlisle United,933.9490182826625,1960
235,Bradford Park Avenue,1063.434463849284,1960
236,Cardiff City,1646.8250187776346,1960
237,Barrow,975.6766189734182,1960
238,Burnley,1869.516089221234,1960
239,Charlton Athletic,1488.117555859597,1960
240,Fulham,1694.3107702030668,1960
241,Tranmere Rovers,1169.6101207463348,1960
242,Bolton Wanderers,1738.0742325519607,1960
243,Huddersfield Town,1466.1615311355795,1960
244,Mansfield Town,1076.1130368415436,1960
245,Stockport County,1074.198888076541,1960
246,Leyton Orient,1476.8390735624387,1960
247,Lincoln City,1425.3713438823481,1960
248,Liverpool,1594.0976375501655,1960
249,Middlesbrough,1558.9946653357472,1960
250,Reading,1214.8692196863042,1960
251,Norwich City,1444.2550994602839,1960
252,Scunthorpe United,1486.8802725718874,1960
253,Watford,1155.5621193595593,1960
254,Bristol City,1282.6629671293433,1960
255,Hull City,1306.431281566394,1960
256,AFC Bournemouth,1206.7162168047075,1960
257,Coventry City,1226.218072855703,1960
258,Luton Town,1565.5229507197216,1960
259,Manchester United,1777.36092490311,1960
260,Chesterfield,1136.4168072686452,1960
261,Colchester United,1208.420197795753,1960
262,Leicester City,1732.8862692445934,1960
263,Hartlepool United,905.0311831125434,1960
264,Newcastle United,1694.908983386926,1960
265,Chester,933.9645843806504,1960
266,Oldham Athletic,943.0081254268005,1960
267,Port Vale,1248.506285030015,1960
268,Gillingham,1040.456322643158,1960
269,Sheffield Wednesday,1800.0955883557779,1960
270,Preston North End,1665.0382214016126,1960
271,Exeter City,982.1659405031539,1960
272,Aston Villa,1721.3249171722298,1960
273,Tottenham Hotspur,1918.9577959700955,1960
274,Wolverhampton Wanderers,1881.167721530307,1960
275,Brentford,1242.4340238864536,1960
276,Portsmouth,1464.859590237482,1960
277,Crystal Palace,1123.1784491930055,1960
278,Sheffield United,1591.652962917479,1960
279,Queens Park Rangers,1303.6015369464951,1960
280,Gateshead,930.1773544730905,1960
281,Blackburn Rovers,1693.3913044375026,1960
282,Darlington,1043.7171990395902,1960
283,Blackpool,1686.6174037284793,1960
284,West Ham United,1719.9644701935122,1960
285,Rochdale,1013.7387405001494,1960
286,York City,1078.7344325873928,1960
287,Workington,1004.6089058941618,1960
288,Bury,1303.6907537758225,1960
289,Leeds United,1611.622845129979,1960
290,Arsenal,1749.7894054947917,1960
291,Grimsby Town,1353.814533084795,1960
292,West Bromwich Albion,1729.6532489016759,1960
293,Nottingham Forest,1692.2338834391905,1960
294,Barnsley,1285.1943856535927,1960
295,Southend United,1202.133407769112,1960
296,Everton,1784.4863513252096,1960
297,Ipswich Town,1559.6011266679047,1960
298,Accrington Stanley,1044.0706344359385,1960
299,Wrexham,1091.5809585841223,1960
300,Bradford City,1209.88312709955,1960
301,Sunderland,1510.1194178574467,1960
302,Manchester City,1686.5772746043758,1960
303,Stoke City,1450.5886524954683,1960
304,Chelsea,1691.0164694640237,1960
305,Rotherham United,1467.2923312908688,1960
306,Doncaster Rovers,1010.9640501155757,1960
307,Swansea City,1438.5724674890262,1960
308,Northampton Town,1119.8383564824815,1960
309,Walsall,1221.4623280613748,1960
310,Brighton & Hove Albion,1480.4735108533955,1960
311,Torquay United,1195.1527961856375,1960
